dedupe_key,symbol,strategy_family,strategy_label,parameter_hash,run_count_before_dedupe,kept_run_id,dropped_run_ids,has_conflict_duplicates
OPEN::moving_average_crossover::ma-3-15::69374c13bf7522591efb43b570e65bdd31da3add,OPEN,moving_average_crossover,ma-3-15,69374c13bf7522591efb43b570e65bdd31da3add,2,OPEN-ma-3-15-20260412T075441-ma-3-15,['OPEN-ma-3-15-20260412T074858-ma-3-15'],False
OPEN::moving_average_crossover::ma-8-21::68876fc46f1bc740ab36d47876747c7ba2407011,OPEN,moving_average_crossover,ma-8-21,68876fc46f1bc740ab36d47876747c7ba2407011,2,OPEN-ma-8-21-20260412T075442-ma-8-21,['OPEN-ma-8-21-20260412T074859-ma-8-21'],False
OPEN::moving_average_crossover::ma-baseline::33bc22daf5108f93b692b8c7f7d6c24e9b9ee9e6,OPEN,moving_average_crossover,ma-baseline,33bc22daf5108f93b692b8c7f7d6c24e9b9ee9e6,2,OPEN-ma-baseline-20260412T075441-ma-baseline,['OPEN-ma-baseline-20260412T074858-ma-baseline'],False
OPEN::rsi_threshold::rsi-14-35-65::85f9b6d3e41d73d152f44383b094863ca64d0c83,OPEN,rsi_threshold,rsi-14-35-65,85f9b6d3e41d73d152f44383b094863ca64d0c83,2,OPEN-rsi-14-35-65-20260412T075443-rsi-14-35-65,['OPEN-rsi-14-35-65-20260412T074900-rsi-14-35-65'],False
OPEN::rsi_threshold::rsi-21-30-70::4dbe4870cef1a5db9953fc5af2742bde5104a63c,OPEN,rsi_threshold,rsi-21-30-70,4dbe4870cef1a5db9953fc5af2742bde5104a63c,2,OPEN-rsi-21-30-70-20260412T075443-rsi-21-30-70,['OPEN-rsi-21-30-70-20260412T074900-rsi-21-30-70'],False
OPEN::rsi_threshold::rsi-6-25-75::314f044a3bf4b4a0fc0db67d15c755c2afdbef55,OPEN,rsi_threshold,rsi-6-25-75,314f044a3bf4b4a0fc0db67d15c755c2afdbef55,2,OPEN-rsi-6-25-75-20260412T075442-rsi-6-25-75,['OPEN-rsi-6-25-75-20260412T074859-rsi-6-25-75'],False
OPEN::rsi_threshold::rsi-baseline::f7c06f158ab2eb36975772ca7503b4e1d278befd,OPEN,rsi_threshold,rsi-baseline,f7c06f158ab2eb36975772ca7503b4e1d278befd,2,OPEN-rsi-baseline-20260412T075442-rsi-baseline,['OPEN-rsi-baseline-20260412T074859-rsi-baseline'],False
ORCL::macd_crossover::macd-10-30-9::ecb8de5567887d0d5655ffc7418ad0e8a9b715ae,ORCL,macd_crossover,macd-10-30-9,ecb8de5567887d0d5655ffc7418ad0e8a9b715ae,2,ORCL-macd-10-30-9-20260412T075445-macd-10-30-9,['ORCL-macd-10-30-9-20260412T074902-macd-10-30-9'],False
ORCL::macd_crossover::macd-5-35-5::5cf7374800361e5fe1dd036e0afe65c9da0c4690,ORCL,macd_crossover,macd-5-35-5,5cf7374800361e5fe1dd036e0afe65c9da0c4690,2,ORCL-macd-5-35-5-20260412T075446-macd-5-35-5,['ORCL-macd-5-35-5-20260412T074903-macd-5-35-5'],False
ORCL::macd_crossover::macd-8-21-5::533530cf71e232d34ce704c3153f276e2cb4f8ec,ORCL,macd_crossover,macd-8-21-5,533530cf71e232d34ce704c3153f276e2cb4f8ec,2,ORCL-macd-8-21-5-20260412T075445-macd-8-21-5,['ORCL-macd-8-21-5-20260412T074902-macd-8-21-5'],False
ORCL::macd_crossover::macd-baseline::cc7f7d1c3dad2ebaf928756250404dc3b06d7200,ORCL,macd_crossover,macd-baseline,cc7f7d1c3dad2ebaf928756250404dc3b06d7200,2,ORCL-macd-baseline-20260412T075445-macd-baseline,['ORCL-macd-baseline-20260412T074902-macd-baseline'],False
ORCL::moving_average_crossover::ma-10-30::35be04e412c34f2580005e7e234e9d7b041634a8,ORCL,moving_average_crossover,ma-10-30,35be04e412c34f2580005e7e234e9d7b041634a8,2,ORCL-ma-10-30-20260412T075443-ma-10-30,['ORCL-ma-10-30-20260412T074900-ma-10-30'],False
